Id	Title	Url	Path	IsPaidOnly	Difficulty	Likes	Dislikes	ContentFeatures	SnippetFeatures	Model	SolvedAt	StatusMsg	SubmittedAt	
2716	Minimize String Length	https://leetcode.com/problems/minimize-string-length/	problems/2716-minimize-string-length.json	false	Easy	258	79			gemini-1.0-pro	2024-02-21 00:23:38	Wrong Answer		
2784	Check if Array is Good	https://leetcode.com/problems/check-if-array-is-good/	problems/2784-check-if-array-is-good.json	false	Easy	249	48			gemini-1.0-pro	2024-02-21 00:23:50	Wrong Answer		
2744	Find Maximum Number of String Pairs	https://leetcode.com/problems/find-maximum-number-of-string-pairs/	problems/2744-find-maximum-number-of-string-pairs.json	false	Easy	305	11			gemini-1.0-pro	2024-02-21 00:24:02	Wrong Answer		
2928	Distribute Candies Among Children I	https://leetcode.com/problems/distribute-candies-among-children-i/	problems/2928-distribute-candies-among-children-i.json	false	Easy	75	33			gemini-1.0-pro	2024-02-21 00:24:08	Wrong Answer		
2859	Sum of Values at Indices With K Set Bits	https://leetcode.com/problems/sum-of-values-at-indices-with-k-set-bits/	problems/2859-sum-of-values-at-indices-with-k-set-bits.json	false	Easy	206	27			gemini-1.0-pro	2024-02-21 00:24:17	Wrong Answer		
2833	Furthest Point From Origin	https://leetcode.com/problems/furthest-point-from-origin/	problems/2833-furthest-point-from-origin.json	false	Easy	220	34			gemini-1.0-pro	2024-02-21 00:24:27	Wrong Answer		
2828	Check if a String Is an Acronym of Words	https://leetcode.com/problems/check-if-a-string-is-an-acronym-of-words/	problems/2828-check-if-a-string-is-an-acronym-of-words.json	false	Easy	284	9			gemini-1.0-pro	2024-02-21 00:24:35	Accepted		
2996	Smallest Missing Integer Greater Than Sequential Prefix Sum	https://leetcode.com/problems/smallest-missing-integer-greater-than-sequential-prefix-sum/	problems/2996-smallest-missing-integer-greater-than-sequential-prefix-sum.json	false	Easy	78	180			gemini-1.0-pro	2024-02-21 00:24:43	Wrong Answer		
2908	Minimum Sum of Mountain Triplets I	https://leetcode.com/problems/minimum-sum-of-mountain-triplets-i/	problems/2908-minimum-sum-of-mountain-triplets-i.json	false	Easy	135	7			gemini-1.0-pro	2024-02-21 00:24:51	Wrong Answer		
2903	Find Indices With Index and Value Difference I	https://leetcode.com/problems/find-indices-with-index-and-value-difference-i/	problems/2903-find-indices-with-index-and-value-difference-i.json	false	Easy	119	10			gemini-1.0-pro	2024-02-21 00:24:58	Wrong Answer		
2894	Divisible and Non-divisible Sums Difference	https://leetcode.com/problems/divisible-and-non-divisible-sums-difference/	problems/2894-divisible-and-non-divisible-sums-difference.json	false	Easy	163	12			gemini-1.0-pro	2024-02-21 00:25:09	Wrong Answer		
2824	Count Pairs Whose Sum is Less than Target	https://leetcode.com/problems/count-pairs-whose-sum-is-less-than-target/	problems/2824-count-pairs-whose-sum-is-less-than-target.json	false	Easy	447	40			gemini-1.0-pro	2024-02-21 00:25:16	Wrong Answer		
2937	Make Three Strings Equal	https://leetcode.com/problems/make-three-strings-equal/	problems/2937-make-three-strings-equal.json	false	Easy	130	32			gemini-1.0-pro	2024-02-21 00:25:26	Wrong Answer		
2923	Find Champion I	https://leetcode.com/problems/find-champion-i/	problems/2923-find-champion-i.json	false	Easy	117	30			gemini-1.0-pro	2024-02-21 00:25:35	Wrong Answer		
2788	Split Strings by Separator	https://leetcode.com/problems/split-strings-by-separator/	problems/2788-split-strings-by-separator.json	false	Easy	288	7			gemini-1.0-pro	2024-02-21 00:25:44	Runtime Error		
